defined_class	Marker_set_of	Minimal_markers	Brain_region_abbv	Species_abbv	Brain_region	Parent	FBeta_confidence_score
http://purl.obolibrary.org/obo/PCL_0052505	Mgl_4	ensembl:ENSG00000122862|ensembl:ENSG00000258667	Hsap	Human	HBA:4005	SO:0001260	0.7273391812865497
http://purl.obolibrary.org/obo/PCL_0052506	Mgl_5	ensembl:ENSG00000077420|ensembl:ENSG00000118271	Hsap	Human	HBA:4005	SO:0001260	0.6982942430703625
http://purl.obolibrary.org/obo/PCL_0052507	Mgl_6	ensembl:ENSG00000006747|ensembl:ENSG00000140678|ensembl:ENSG00000231535	Hsap	Human	HBA:4005	SO:0001260	0.34090909090909094
http://purl.obolibrary.org/obo/PCL_0052508	Mgl_7	ensembl:ENSG00000168329|ensembl:ENSG00000173391|ensembl:ENSG00000273409	Hsap	Human	HBA:4005	SO:0001260	0.23087071240105542
http://purl.obolibrary.org/obo/PCL_0052509	Mgl_8	ensembl:ENSG00000168329|ensembl:ENSG00000229140|ensembl:ENSG00000231131	Hsap	Human	HBA:4005	SO:0001260	0.5147058823529413
http://purl.obolibrary.org/obo/PCL_0052510	Mgl_9	ensembl:ENSG00000168329|ensembl:ENSG00000204472|ensembl:ENSG00000273409	Hsap	Human	HBA:4005	SO:0001260	0.34163987138263663
http://purl.obolibrary.org/obo/PCL_0052511	Mgl_10	ensembl:ENSG00000107099|ensembl:ENSG00000169313|ensembl:ENSG00000231131	Hsap	Human	HBA:4005	SO:0001260	0.1889736477115118
http://purl.obolibrary.org/obo/PCL_0052512	Mgl_11	ensembl:ENSG00000169313|ensembl:ENSG00000232591|ensembl:ENSG00000273409	Hsap	Human	HBA:4005	SO:0001260	0.2610619469026549
http://purl.obolibrary.org/obo/PCL_0052513	Mgl_12	ensembl:ENSG00000124491|ensembl:ENSG00000260314	Hsap	Human	HBA:4005	SO:0001260	0.7098765432098765
http://purl.obolibrary.org/obo/PCL_0052514	VendPLVAP_13	ensembl:ENSG00000130300	Hsap	Human	HBA:4005	SO:0001260	0.6698564593301435
http://purl.obolibrary.org/obo/PCL_0052515	VendAC_14	ensembl:ENSG00000010319|ensembl:ENSG00000180229	Hsap	Human	HBA:4005	SO:0001260	0.6017505470459519
http://purl.obolibrary.org/obo/PCL_0052516	VendC_15	ensembl:ENSG00000085276|ensembl:ENSG00000118777|ensembl:ENSG00000143341	Hsap	Human	HBA:4005	SO:0001260	0.5370905587668593
http://purl.obolibrary.org/obo/PCL_0052517	VendVC_16	ensembl:ENSG00000085276|ensembl:ENSG00000119121	Hsap	Human	HBA:4005	SO:0001260	0.5733618233618234
http://purl.obolibrary.org/obo/PCL_0052518	VendV_17	ensembl:ENSG00000115594|ensembl:ENSG00000122862	Hsap	Human	HBA:4005	SO:0001260	0.5928853754940712
http://purl.obolibrary.org/obo/PCL_0052519	VendA_18	ensembl:ENSG00000085276|ensembl:ENSG00000111341	Hsap	Human	HBA:4005	SO:0001260	0.690909090909091
http://purl.obolibrary.org/obo/PCL_0052520	Vsmc_19	ensembl:ENSG00000085276|ensembl:ENSG00000107796	Hsap	Human	HBA:4005	SO:0001260	0.42461005199306756
http://purl.obolibrary.org/obo/PCL_0052521	Vsmc_20	ensembl:ENSG00000107796|ensembl:ENSG00000149591	Hsap	Human	HBA:4005	SO:0001260	0.7009925558312655
http://purl.obolibrary.org/obo/PCL_0052522	Per_21	ensembl:ENSG00000111404|ensembl:ENSG00000185633	Hsap	Human	HBA:4005	SO:0001260	0.48640167364016723
http://purl.obolibrary.org/obo/PCL_0052523	Per_22	ensembl:ENSG00000173638|ensembl:ENSG00000249669	Hsap	Human	HBA:4005	SO:0001260	0.6019417475728155
http://purl.obolibrary.org/obo/PCL_0052524	Per_23	ensembl:ENSG00000010379|ensembl:ENSG00000106819|ensembl:ENSG00000111181	Hsap	Human	HBA:4005	SO:0001260	0.22058823529411764
http://purl.obolibrary.org/obo/PCL_0052525	Fbl_24	ensembl:ENSG00000112175|ensembl:ENSG00000112936	Hsap	Human	HBA:4005	SO:0001260	0.35279805352798044
http://purl.obolibrary.org/obo/PCL_0052526	Fbl_25	ensembl:ENSG00000112837|ensembl:ENSG00000119681	Hsap	Human	HBA:4005	SO:0001260	0.3941441441441441
http://purl.obolibrary.org/obo/PCL_0052527	Fbl_26	ensembl:ENSG00000163817|ensembl:ENSG00000204291	Hsap	Human	HBA:4005	SO:0001260	0.38175675675675663
http://purl.obolibrary.org/obo/PCL_0052528	Fbl_27	ensembl:ENSG00000094963|ensembl:ENSG00000141338|ensembl:ENSG00000249797	Hsap	Human	HBA:4005	SO:0001260	0.3890423572744015
http://purl.obolibrary.org/obo/PCL_0052529	Fbl_28	ensembl:ENSG00000112936|ensembl:ENSG00000163520|ensembl:ENSG00000164692	Hsap	Human	HBA:4005	SO:0001260	0.3356481481481481
http://purl.obolibrary.org/obo/PCL_0052530	Fbl_29	ensembl:ENSG00000117394|ensembl:ENSG00000138696|ensembl:ENSG00000221818	Hsap	Human	HBA:4005	SO:0001260	0.7096774193548385
http://purl.obolibrary.org/obo/PCL_0052531	Fbl_30	ensembl:ENSG00000105641|ensembl:ENSG00000271945	Hsap	Human	HBA:4005	SO:0001260	0.6222222222222221
http://purl.obolibrary.org/obo/PCL_0052532	Fbl_31	ensembl:ENSG00000168229|ensembl:ENSG00000173068	Hsap	Human	HBA:4005	SO:0001260	0.7681940700808627
http://purl.obolibrary.org/obo/PCL_0052533	OPC_32	ensembl:ENSG00000117501|ensembl:ENSG00000231424	Hsap	Human	HBA:4005	SO:0001260	0.7894736842105263
http://purl.obolibrary.org/obo/PCL_0052534	OPC_33	ensembl:ENSG00000184221|ensembl:ENSG00000189058|ensembl:ENSG00000231424	Hsap	Human	HBA:4005	SO:0001260	0.26346604215456676
http://purl.obolibrary.org/obo/PCL_0052535	OPC_34	ensembl:ENSG00000184221|ensembl:ENSG00000278254|ensembl:ENSG00000286778	Hsap	Human	HBA:4005	SO:0001260	0.26271753681392235
http://purl.obolibrary.org/obo/PCL_0052536	OPC_35	ensembl:ENSG00000184221|ensembl:ENSG00000224184|ensembl:ENSG00000278254	Hsap	Human	HBA:4005	SO:0001260	0.36042944785276076
http://purl.obolibrary.org/obo/PCL_0052537	OPC_36	ensembl:ENSG00000253877|ensembl:ENSG00000278254	Hsap	Human	HBA:4005	SO:0001260	0.6752873563218389
http://purl.obolibrary.org/obo/PCL_0052538	COP_37	ensembl:ENSG00000064787|ensembl:ENSG00000116132|ensembl:ENSG00000144230	Hsap	Human	HBA:4005	SO:0001260	0.6654929577464789
http://purl.obolibrary.org/obo/PCL_0052539	COP_38	ensembl:ENSG00000064787|ensembl:ENSG00000236494	Hsap	Human	HBA:4005	SO:0001260	0.7195481335952849
http://purl.obolibrary.org/obo/PCL_0052540	COP_39	ensembl:ENSG00000091513|ensembl:ENSG00000268518	Hsap	Human	HBA:4005	SO:0001260	0.4294478527607362
http://purl.obolibrary.org/obo/PCL_0052541	Oligo_40	ensembl:ENSG00000123560|ensembl:ENSG00000178568|ensembl:ENSG00000197430	Hsap	Human	HBA:4005	SO:0001260	0.19558214450069028
http://purl.obolibrary.org/obo/PCL_0052542	COP_41	ensembl:ENSG00000197430|ensembl:ENSG00000227088	Hsap	Human	HBA:4005	SO:0001260	0.08468717594192882
http://purl.obolibrary.org/obo/PCL_0052543	COP_42	ensembl:ENSG00000150656|ensembl:ENSG00000162631|ensembl:ENSG00000253877	Hsap	Human	HBA:4005	SO:0001260	0.25704225352112675
http://purl.obolibrary.org/obo/PCL_0052544	COP_43	ensembl:ENSG00000158865|ensembl:ENSG00000168314	Hsap	Human	HBA:4005	SO:0001260	0.11043700824722726
http://purl.obolibrary.org/obo/PCL_0052545	Oligo_44	ensembl:ENSG00000011426|ensembl:ENSG00000091513|ensembl:ENSG00000158865|ensembl:ENSG00000168314|ensembl:ENSG00000172508	Hsap	Human	HBA:4005	SO:0001260	0.22626112759643918
http://purl.obolibrary.org/obo/PCL_0052546	Oligo_45	ensembl:ENSG00000158865|ensembl:ENSG00000167123|ensembl:ENSG00000168314|ensembl:ENSG00000197430	Hsap	Human	HBA:4005	SO:0001260	0.23277467411545621
http://purl.obolibrary.org/obo/PCL_0052547	Oligo_46	ensembl:ENSG00000129538|ensembl:ENSG00000150656|ensembl:ENSG00000253877	Hsap	Human	HBA:4005	SO:0001260	0.17626827171109202
http://purl.obolibrary.org/obo/PCL_0052548	Oligo_47	ensembl:ENSG00000123560|ensembl:ENSG00000197430|ensembl:ENSG00000253877	Hsap	Human	HBA:4005	SO:0001260	0.14685792349726776
http://purl.obolibrary.org/obo/PCL_0052549	Oligo_48	ensembl:ENSG00000197430|ensembl:ENSG00000287069	Hsap	Human	HBA:4005	SO:0001260	0.6759259259259258
http://purl.obolibrary.org/obo/PCL_0052550	Oligo_49	ensembl:ENSG00000091513|ensembl:ENSG00000109846|ensembl:ENSG00000158865|ensembl:ENSG00000172508|ensembl:ENSG00000227088	Hsap	Human	HBA:4005	SO:0001260	0.41883116883116883
http://purl.obolibrary.org/obo/PCL_0052551	Oligo_50	ensembl:ENSG00000158865|ensembl:ENSG00000259104	Hsap	Human	HBA:4005	SO:0001260	0.8675166297117516
http://purl.obolibrary.org/obo/PCL_0052553	Astro_52	ensembl:ENSG00000080573|ensembl:ENSG00000279082	Hsap	Human	HBA:4005	SO:0001260	0.49010791366906475
http://purl.obolibrary.org/obo/PCL_0052554	Astro_53	ensembl:ENSG00000080573|ensembl:ENSG00000106571	Hsap	Human	HBA:4005	SO:0001260	0.4132443531827516
http://purl.obolibrary.org/obo/PCL_0052555	Astro_54	ensembl:ENSG00000106571|ensembl:ENSG00000164089|ensembl:ENSG00000234377|ensembl:ENSG00000251165	Hsap	Human	HBA:4005	SO:0001260	0.22321428571428573
http://purl.obolibrary.org/obo/PCL_0052556	Astro_55	ensembl:ENSG00000068078|ensembl:ENSG00000156076|ensembl:ENSG00000172987	Hsap	Human	HBA:4005	SO:0001260	0.47752808988764045
http://purl.obolibrary.org/obo/PCL_0052557	Astro_56	ensembl:ENSG00000041982|ensembl:ENSG00000179399|ensembl:ENSG00000234377	Hsap	Human	HBA:4005	SO:0001260	0.09486780715396578
http://purl.obolibrary.org/obo/PCL_0052558	Astro_57	ensembl:ENSG00000041982|ensembl:ENSG00000068078|ensembl:ENSG00000234377|ensembl:ENSG00000257585|ensembl:ENSG00000286757	Hsap	Human	HBA:4005	SO:0001260	0.34149484536082475
http://purl.obolibrary.org/obo/PCL_0052559	Astro_58	ensembl:ENSG00000068078|ensembl:ENSG00000117318|ensembl:ENSG00000251372	Hsap	Human	HBA:4005	SO:0001260	0.3069053708439898
http://purl.obolibrary.org/obo/PCL_0052560	Astro_59	ensembl:ENSG00000133067|ensembl:ENSG00000172987|ensembl:ENSG00000180347|ensembl:ENSG00000234377	Hsap	Human	HBA:4005	SO:0001260	0.5172413793103449
http://purl.obolibrary.org/obo/PCL_0052561	Astro_60	ensembl:ENSG00000041982|ensembl:ENSG00000130203|ensembl:ENSG00000136160|ensembl:ENSG00000251372	Hsap	Human	HBA:4005	SO:0001260	0.23268398268398272
http://purl.obolibrary.org/obo/PCL_0052562	Astro_61	ensembl:ENSG00000131095|ensembl:ENSG00000240583|ensembl:ENSG00000258844	Hsap	Human	HBA:4005	SO:0001260	0.33571428571428574
http://purl.obolibrary.org/obo/PCL_0052563	Astro_62	ensembl:ENSG00000041982|ensembl:ENSG00000130203|ensembl:ENSG00000280809	Hsap	Human	HBA:4005	SO:0001260	0.25756143667296794
http://purl.obolibrary.org/obo/PCL_0052564	Astro_63	ensembl:ENSG00000109846|ensembl:ENSG00000131095	Hsap	Human	HBA:4005	SO:0001260	0.2770083102493075
http://purl.obolibrary.org/obo/PCL_0052565	Astro_64	ensembl:ENSG00000250602|ensembl:ENSG00000287406	Hsap	Human	HBA:4005	SO:0001260	0.8278795811518325
http://purl.obolibrary.org/obo/PCL_0052566	Epen_65	ensembl:ENSG00000041982|ensembl:ENSG00000068078|ensembl:ENSG00000197057	Hsap	Human	HBA:4005	SO:0001260	0.4427083333333333
http://purl.obolibrary.org/obo/PCL_0052567	Epen_66	ensembl:ENSG00000133636|ensembl:ENSG00000231557	Hsap	Human	HBA:4005	SO:0001260	0.2304032056098172
http://purl.obolibrary.org/obo/PCL_0052568	Epen_67	ensembl:ENSG00000180264|ensembl:ENSG00000197057|ensembl:ENSG00000234377	Hsap	Human	HBA:4005	SO:0001260	0.3925304878048781
http://purl.obolibrary.org/obo/PCL_0052569	Epen_68	ensembl:ENSG00000105519|ensembl:ENSG00000197171|ensembl:ENSG00000213145	Hsap	Human	HBA:4005	SO:0001260	0.5066250974279034
http://purl.obolibrary.org/obo/PCL_0052570	Epen_69	ensembl:ENSG00000105519|ensembl:ENSG00000231557|ensembl:ENSG00000287544	Hsap	Human	HBA:4005	SO:0001260	0.4006410256410256
http://purl.obolibrary.org/obo/PCL_0052571	Epen_70	ensembl:ENSG00000175318|ensembl:ENSG00000186439|ensembl:ENSG00000197171	Hsap	Human	HBA:4005	SO:0001260	0.23326572008113589
http://purl.obolibrary.org/obo/PCL_0052572	Epen_71	ensembl:ENSG00000164023|ensembl:ENSG00000197057	Hsap	Human	HBA:4005	SO:0001260	0.5294585987261147
http://purl.obolibrary.org/obo/PCL_0052573	Epen_72	ensembl:ENSG00000197171|ensembl:ENSG00000283117|ensembl:ENSG00000287544	Hsap	Human	HBA:4005	SO:0001260	0.22300469483568075
http://purl.obolibrary.org/obo/PCL_0052574	Epen_73	ensembl:ENSG00000231557|ensembl:ENSG00000231918|ensembl:ENSG00000287544	Hsap	Human	HBA:4005	SO:0001260	0.4033430232558139
http://purl.obolibrary.org/obo/PCL_0052575	Epen_74	ensembl:ENSG00000118271|ensembl:ENSG00000197057	Hsap	Human	HBA:4005	SO:0001260	0.696064139941691
http://purl.obolibrary.org/obo/PCL_0052576	COP_75	ensembl:ENSG00000110195|ensembl:ENSG00000223953	Hsap	Human	HBA:4005	SO:0001260	0.4710144927536232
http://purl.obolibrary.org/obo/PCL_0052577	Chrp_76	ensembl:ENSG00000123560|ensembl:ENSG00000147488|ensembl:ENSG00000248550|ensembl:ENSG00000258312	Hsap	Human	HBA:4005	SO:0001260	0.45945945945945954
http://purl.obolibrary.org/obo/PCL_0052578	Chrp_77	ensembl:ENSG00000110195|ensembl:ENSG00000132386|ensembl:ENSG00000258312	Hsap	Human	HBA:4005	SO:0001260	0.3153846153846154
http://purl.obolibrary.org/obo/PCL_0052579	Chrp_78	ensembl:ENSG00000110777|ensembl:ENSG00000112297|ensembl:ENSG00000251170	Hsap	Human	HBA:4005	SO:0001260	0.32568565400843885
http://purl.obolibrary.org/obo/PCL_0052580	Chrp_79	ensembl:ENSG00000110777|ensembl:ENSG00000111199|ensembl:ENSG00000198691	Hsap	Human	HBA:4005	SO:0001260	0.2393000210837023
http://purl.obolibrary.org/obo/PCL_0052581	Chrp_80	ensembl:ENSG00000153976|ensembl:ENSG00000258312	Hsap	Human	HBA:4005	SO:0001260	0.4718959731543625
http://purl.obolibrary.org/obo/PCL_0052582	Chrp_81	ensembl:ENSG00000158104|ensembl:ENSG00000223953	Hsap	Human	HBA:4005	SO:0001260	0.3113266583229036
http://purl.obolibrary.org/obo/PCL_0052583	Chrp_82	ensembl:ENSG00000118271|ensembl:ENSG00000136235	Hsap	Human	HBA:4005	SO:0001260	0.43175487465181056
http://purl.obolibrary.org/obo/PCL_0052584	DLNP_83	ensembl:ENSG00000230096	Hsap	Human	HBA:4005	SO:0001260	0.7401315789473684
http://purl.obolibrary.org/obo/PCL_0052585	DLCT6b_84	ensembl:ENSG00000133110|ensembl:ENSG00000172139|ensembl:ENSG00000197085	Hsap	Human	HBA:4005	SO:0001260	0.5373303167420815
http://purl.obolibrary.org/obo/PCL_0052586	DLNP_85	ensembl:ENSG00000169836|ensembl:ENSG00000231304|ensembl:ENSG00000253868	Hsap	Human	HBA:4005	SO:0001260	0.5516194331983807
http://purl.obolibrary.org/obo/PCL_0052587	DLNP_86	ensembl:ENSG00000120907|ensembl:ENSG00000162407|ensembl:ENSG00000196090|ensembl:ENSG00000255733	Hsap	Human	HBA:4005	SO:0001260	0.44719827586206895
http://purl.obolibrary.org/obo/PCL_0052588	DLNP_87	ensembl:ENSG00000112280|ensembl:ENSG00000172139|ensembl:ENSG00000187258|ensembl:ENSG00000287907	Hsap	Human	HBA:4005	SO:0001260	0.32945736434108525
http://purl.obolibrary.org/obo/PCL_0052589	DLNP_88	ensembl:ENSG00000135218|ensembl:ENSG00000187258|ensembl:ENSG00000255733|ensembl:ENSG00000287907	Hsap	Human	HBA:4005	SO:0001260	0.41005291005291006
http://purl.obolibrary.org/obo/PCL_0052590	DLNP_89	ensembl:ENSG00000197085|ensembl:ENSG00000251002|ensembl:ENSG00000287159	Hsap	Human	HBA:4005	SO:0001260	0.5046583850931677
http://purl.obolibrary.org/obo/PCL_0052591	DLNP_90	ensembl:ENSG00000249881|ensembl:ENSG00000251002|ensembl:ENSG00000255733	Hsap	Human	HBA:4005	SO:0001260	0.4537037037037037
http://purl.obolibrary.org/obo/PCL_0052592	DLNP_91	ensembl:ENSG00000132274|ensembl:ENSG00000206531|ensembl:ENSG00000241956|ensembl:ENSG00000253693	Hsap	Human	HBA:4005	SO:0001260	0.2933282208588957
http://purl.obolibrary.org/obo/PCL_0052593	DLNP_92	ensembl:ENSG00000170820|ensembl:ENSG00000249881|ensembl:ENSG00000275649	Hsap	Human	HBA:4005	SO:0001260	0.3708791208791209
http://purl.obolibrary.org/obo/PCL_0052594	DLNP_93	ensembl:ENSG00000144227|ensembl:ENSG00000185483|ensembl:ENSG00000249881|ensembl:ENSG00000255733	Hsap	Human	HBA:4005	SO:0001260	0.2205882352941177
http://purl.obolibrary.org/obo/PCL_0052595	DLNP_94	ensembl:ENSG00000154134|ensembl:ENSG00000206531|ensembl:ENSG00000287424|ensembl:ENSG00000287907	Hsap	Human	HBA:4005	SO:0001260	0.3309692671394799
http://purl.obolibrary.org/obo/PCL_0052596	DLNP_95	ensembl:ENSG00000141052|ensembl:ENSG00000170820|ensembl:ENSG00000197085|ensembl:ENSG00000261436	Hsap	Human	HBA:4005	SO:0001260	0.42151162790697666
http://purl.obolibrary.org/obo/PCL_0052597	DLNP_96	ensembl:ENSG00000149948|ensembl:ENSG00000239440	Hsap	Human	HBA:4005	SO:0001260	0.5230769230769231
http://purl.obolibrary.org/obo/PCL_0052598	DLCT6b_97	ensembl:ENSG00000138472|ensembl:ENSG00000254361	Hsap	Human	HBA:4005	SO:0001260	0.7081807081807081
http://purl.obolibrary.org/obo/PCL_0052599	DLCT6b_98	ensembl:ENSG00000139880|ensembl:ENSG00000157554|ensembl:ENSG00000164136	Hsap	Human	HBA:4005	SO:0001260	0.6092057761732853
http://purl.obolibrary.org/obo/PCL_0052600	DLCT6b_99	ensembl:ENSG00000164142|ensembl:ENSG00000197635|ensembl:ENSG00000259846	Hsap	Human	HBA:4005	SO:0001260	0.38696060037523444
http://purl.obolibrary.org/obo/PCL_0052601	DLCT6b_100	ensembl:ENSG00000112902|ensembl:ENSG00000137573|ensembl:ENSG00000171509|ensembl:ENSG00000250125	Hsap	Human	HBA:4005	SO:0001260	0.4216507177033493
http://purl.obolibrary.org/obo/PCL_0052602	DLCT6b_101	ensembl:ENSG00000237928|ensembl:ENSG00000259846|ensembl:ENSG00000288016	Hsap	Human	HBA:4005	SO:0001260	0.49857549857549854
http://purl.obolibrary.org/obo/PCL_0052603	DLCT6b_102	ensembl:ENSG00000178031|ensembl:ENSG00000225539|ensembl:ENSG00000225649|ensembl:ENSG00000259846	Hsap	Human	HBA:4005	SO:0001260	0.510752688172043
http://purl.obolibrary.org/obo/PCL_0052604	DLCT6b_103	ensembl:ENSG00000116711|ensembl:ENSG00000118523|ensembl:ENSG00000259846	Hsap	Human	HBA:4005	SO:0001260	0.5304276315789475
http://purl.obolibrary.org/obo/PCL_0052605	DLCT6b_104	ensembl:ENSG00000132274|ensembl:ENSG00000259846	Hsap	Human	HBA:4005	SO:0001260	0.576036866359447
http://purl.obolibrary.org/obo/PCL_0052606	DLCT6b_105	ensembl:ENSG00000118523|ensembl:ENSG00000233423|ensembl:ENSG00000233882	Hsap	Human	HBA:4005	SO:0001260	0.4606681034482759
http://purl.obolibrary.org/obo/PCL_0052607	DLCT6b_106	ensembl:ENSG00000151617|ensembl:ENSG00000249429|ensembl:ENSG00000288004	Hsap	Human	HBA:4005	SO:0001260	0.55103550295858
http://purl.obolibrary.org/obo/PCL_0052608	DLCT6b_107	ensembl:ENSG00000134207|ensembl:ENSG00000137809	Hsap	Human	HBA:4005	SO:0001260	0.7285031847133757
http://purl.obolibrary.org/obo/PCL_0052609	DLCT6b_108	ensembl:ENSG00000170381|ensembl:ENSG00000178031|ensembl:ENSG00000225539|ensembl:ENSG00000249881|ensembl:ENSG00000254092	Hsap	Human	HBA:4005	SO:0001260	0.3262362637362637
http://purl.obolibrary.org/obo/PCL_0052610	DLCT6b_109	ensembl:ENSG00000225539|ensembl:ENSG00000228358|ensembl:ENSG00000239498|ensembl:ENSG00000253199|ensembl:ENSG00000254092	Hsap	Human	HBA:4005	SO:0001260	0.2567675159235669
http://purl.obolibrary.org/obo/PCL_0052611	DLCT6b_110	ensembl:ENSG00000105974|ensembl:ENSG00000132274|ensembl:ENSG00000137573|ensembl:ENSG00000286481	Hsap	Human	HBA:4005	SO:0001260	0.5051369863013698
http://purl.obolibrary.org/obo/PCL_0052612	DLCT6b_111	ensembl:ENSG00000137573|ensembl:ENSG00000164616|ensembl:ENSG00000224982|ensembl:ENSG00000268089	Hsap	Human	HBA:4005	SO:0001260	0.5448717948717948
http://purl.obolibrary.org/obo/PCL_0052613	DLCT6b_112	ensembl:ENSG00000137573|ensembl:ENSG00000235531|ensembl:ENSG00000259846	Hsap	Human	HBA:4005	SO:0001260	0.38636363636363635
http://purl.obolibrary.org/obo/PCL_0052616	L5ET_115	ensembl:ENSG00000126545|ensembl:ENSG00000229807	Hsap	Human	HBA:4005	SO:0001260	0.6842105263157896
http://purl.obolibrary.org/obo/PCL_0052620	CA13_119	ensembl:ENSG00000259417|ensembl:ENSG00000283384	Hsap	Human	HBA:4005	SO:0001260	0.7757352941176471
http://purl.obolibrary.org/obo/PCL_0052621	ULIT_120	ensembl:ENSG00000065325|ensembl:ENSG00000075223|ensembl:ENSG00000137672|ensembl:ENSG00000236922	Hsap	Human	HBA:4005	SO:0001260	0.3560371517027863
http://purl.obolibrary.org/obo/PCL_0052622	ULIT_121	ensembl:ENSG00000125869|ensembl:ENSG00000139865|ensembl:ENSG00000215559|ensembl:ENSG00000229618|ensembl:ENSG00000255595	Hsap	Human	HBA:4005	SO:0001260	0.37234042553191493
http://purl.obolibrary.org/obo/PCL_0052623	ULIT_122	ensembl:ENSG00000170962|ensembl:ENSG00000256193|ensembl:ENSG00000258583	Hsap	Human	HBA:4005	SO:0001260	0.4526869158878504
